repo,side,canonical_or_raw,draft_bucket,draft_reason,notes
kubernetes-bootstrap,l1_only,aws_imagebuilder,unique_l1,L1 caught but LLM missed,
kubernetes-bootstrap,l1_only,esbuild,unique_l1,L1 caught but LLM missed,
tucaken-app,l1_only,@aws-sdk/client-s3,unique_l1,L1 caught but LLM missed,
tucaken-app,l1_only,solid-js,unique_l1,L1 caught but LLM missed,
kubernetes-bootstrap,llm_only,alertmanager,a,detector_gap_helm_argocd,
kubernetes-bootstrap,llm_only,alloy,a,detector_gap_helm_argocd,
kubernetes-bootstrap,llm_only,ansible,a_or_d,review_individually,
kubernetes-bootstrap,llm_only,aws_acm,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_api_gateway,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_autoscaling,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_backup,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_bedrock,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_cloudformation,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_cloudfront,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_cloudtrail,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_cognito,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_ecr,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_eks,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_elb,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_eventbridge,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_firehose,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_kinesis,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_kms,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_load_balancer_controller,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_rds,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_route53,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_sdk,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_secrets_manager,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_sqs,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_step_functions,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_sts,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_textract,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_vpc,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_waf,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,aws_wafv2,a,detector_gap_aws_iac_sdk,
kubernetes-bootstrap,llm_only,azure_sql,?,unclassified_review_required,
kubernetes-bootstrap,llm_only,base64,d,likely_hallucination_or_generic,
kubernetes-bootstrap,llm_only,bash,a,detector_gap_language,
kubernetes-bootstrap,llm_only,bcrypt,d,likely_hallucination_or_generic,
kubernetes-bootstrap,llm_only,calico,a,detector_gap_helm_argocd,
