REPO|canonical|total|readme|other_md|code|yaml_doc|pkgjson|other|hallucination
KBS|ansible|1|0|1|0|0|0|0|
KBS|aws_acm|13|0|5|1|7|0|0|
KBS|aws_api_gateway|3|0|1|1|1|0|0|
KBS|aws_autoscaling|30|0|7|9|8|0|6|
KBS|aws_backup|2|0|1|0|1|0|0|
KBS|aws_bedrock|56|0|16|0|32|0|8|
KBS|aws_cloudtrail|7|0|1|0|5|0|1|
KBS|aws_cognito|22|0|5|0|15|0|2|
KBS|aws_ecr|79|1|24|8|43|0|3|
KBS|aws_eks|75|3|5|0|61|0|6|
KBS|aws_elb|41|1|3|5|30|0|2|
KBS|aws_firehose|2|0|1|0|1|0|0|
KBS|aws_kinesis|3|0|1|0|2|0|0|
KBS|aws_kms|14|0|6|2|4|0|2|
KBS|aws_load_balancer_controller|5|0|0|0|4|0|1|
KBS|aws_rds|67|1|11|0|46|0|9|
KBS|aws_route53|24|1|12|3|6|0|2|
KBS|aws_secrets_manager|50|1|12|5|29|0|3|
KBS|aws_sqs|15|1|7|0|6|0|1|
KBS|aws_step_functions|44|1|23|12|4|1|3|
KBS|aws_sts|3|0|1|0|1|0|1|
KBS|aws_textract|2|0|1|0|0|0|1|
KBS|aws_vpc|39|1|17|8|7|0|6|
KBS|aws_waf|22|0|4|2|15|0|1|
KBS|aws_wafv2|10|0|0|0|9|0|1|
KBS|azure_sql|7|0|5|0|2|0|0|
KBS|bash|83|2|50|14|12|0|5|
KBS|bcrypt|9|0|2|2|3|0|2|
KBS|docker|33|0|13|4|13|0|3|
KBS|dynamodb|31|0|12|1|16|0|2|
KBS|go|18|1|11|0|6|0|0|
KBS|grpc|17|0|5|2|10|0|0|
KBS|jwt|10|0|2|4|3|0|1|
KBS|opentelemetry|17|0|6|0|8|0|3|
KBS|pgvector|8|0|3|0|4|0|1|
KBS|pino|8|0|1|0|6|0|1|
KBS|pytest-mock|2|0|1|0|1|0|0|
KBS|terraform|6|0|4|0|2|0|0|
KBS|vite|1|0|0|0|0|0|1|
KBS|yarn|29|1|8|2|10|4|4|
KBS|zod|1|0|0|0|0|0|1|
TUC|alloy|12|0|1|11|0|0|0|
TUC|anthropic_claude|24|0|13|7|2|0|2|
TUC|argocd|17|0|6|5|5|0|1|
TUC|argocd_image_updater|3|0|1|1|1|0|0|
TUC|argo_rollouts|7|0|4|0|3|0|0|
TUC|aws_acm|3|0|0|3|0|0|0|
TUC|aws_api_gateway|6|0|0|6|0|0|0|
TUC|aws_bedrock|44|0|9|31|0|0|4|
TUC|aws_cloudformation|4|0|1|3|0|0|0|
TUC|aws_cloudfront|13|0|5|6|2|0|0|
TUC|aws_cloudtrail|3|0|0|3|0|0|0|
TUC|aws_cognito|82|0|7|67|2|2|4|
TUC|aws_cost_explorer|5|0|0|5|0|0|0|
TUC|aws_ec2|10|0|1|6|1|0|2|
TUC|aws_ecr|18|0|4|10|3|0|1|
TUC|aws_ecs|5|0|0|5|0|0|0|
TUC|aws_elb|3|0|0|3|0|0|0|
TUC|aws_iam|12|0|1|8|1|1|1|
TUC|aws_kafka|2|0|1|1|0|0|0|
TUC|aws_kms|3|0|0|3|0|0|0|
TUC|aws_lambda|22|0|2|18|0|1|1|
TUC|aws_rds|31|0|8|20|0|0|3|
TUC|aws_route53|3|0|0|3|0|0|0|
TUC|aws_secrets_manager|0|0|0|0|0|0|0|HALLUCINATION
TUC|aws_sqs|2|0|0|2|0|0|0|
TUC|aws_ssm|17|0|3|7|5|0|2|
TUC|aws_step_functions|6|0|1|5|0|0|0|
TUC|aws_vpc|3|0|0|3|0|0|0|
TUC|aws_waf|4|0|0|4|0|0|0|
TUC|azure_sql|23|0|8|14|0|0|1|
TUC|bash|37|1|28|3|3|0|2|
TUC|bun|1|0|0|1|0|0|0|
TUC|calico|1|0|0|1|0|0|0|
TUC|cdk_nag|2|0|0|2|0|0|0|
TUC|checkov|2|0|0|2|0|0|0|
TUC|docker|22|0|3|7|8|0|4|
TUC|dynamodb|19|0|0|18|0|0|1|
TUC|esbuild|8|0|3|1|1|1|2|
TUC|external_secrets|9|0|1|7|0|0|1|
TUC|fastapi|3|0|2|1|0|0|0|
TUC|go|30|0|13|17|0|0|0|
TUC|graphql|1|0|0|1|0|0|0|
TUC|helm|8|0|2|4|1|0|1|
TUC|jwt|53|0|6|45|1|1|0|
TUC|kubernetes|38|0|11|19|5|1|2|
TUC|loki|18|0|5|10|3|0|0|
TUC|nextjs|8|0|1|7|0|0|0|
TUC|npm|11|0|7|1|2|0|1|
TUC|pgbouncer|12|0|1|10|0|0|1|
TUC|pyroscope|9|0|2|5|0|2|0|
TUC|python|7|0|2|5|0|0|0|
TUC|redis|6|0|1|5|0|0|0|
TUC|rust|2|0|0|2|0|0|0|
TUC|terraform|3|0|0|3|0|0|0|
TUC|traefik|1|0|0|1|0|0|0|
TUC|typescript|56|0|30|22|1|2|1|
TUC|yarn|32|2|16|3|6|1|4|
