REPO|canonical|total|readme|other_md|code|yaml_doc|pkgjson|other|hallucination
KBS|ansible|1|0|1|0|0|0|0|
KBS|aws_acm|13|0|5|1|7|0|0|
KBS|aws_api_gateway|3|0|1|1|1|0|0|
KBS|aws_autoscaling|30|0|7|9|8|0|6|
KBS|aws_backup|2|0|1|0|1|0|0|
KBS|aws_bedrock|56|0|16|0|32|0|8|
KBS|aws_elb|41|1|3|5|30|0|2|
KBS|aws_firehose|2|0|1|0|1|0|0|
KBS|aws_kms|14|0|6|2|4|0|2|
KBS|aws_rds|67|1|11|0|46|0|9|
KBS|aws_sqs|15|1|7|0|6|0|1|
KBS|aws_step_functions|44|1|23|12|4|1|3|
KBS|aws_sts|3|0|1|0|1|0|1|
KBS|aws_textract|2|0|1|0|0|0|1|
KBS|aws_vpc|39|1|17|8|7|0|6|
KBS|aws_waf|22|0|4|2|15|0|1|
KBS|azure_sql|7|0|5|0|2|0|0|
KBS|base64|23|0|9|8|6|0|0|
KBS|bash|83|2|50|14|12|0|5|
KBS|cors|7|0|4|0|1|0|2|
KBS|curl|39|0|18|8|11|0|2|
KBS|go|18|1|11|0|6|0|0|
KBS|hmac-sha256|5|0|0|0|5|0|0|
KBS|http|120|0|30|11|72|0|7|
KBS|json|113|2|38|31|19|1|22|
KBS|jwt|10|0|2|4|3|0|1|
KBS|openssl|10|0|3|3|3|0|1|
KBS|pino|8|0|1|0|6|0|1|
KBS|pip|15|1|5|3|5|0|1|
KBS|pprof|3|0|0|0|3|0|0|
KBS|pytest-mock|2|0|1|0|1|0|0|
KBS|pyyaml|5|0|2|1|1|0|1|
KBS|ruff|5|1|1|0|1|0|2|
KBS|stripe|2|0|0|0|2|0|0|
KBS|terraform|6|0|4|0|2|0|0|
KBS|vite|1|0|0|0|0|0|1|
KBS|yarn|29|1|8|2|10|4|4|
KBS|zod|1|0|0|0|0|0|1|
TUC|alloy|12|0|1|11|0|0|0|
TUC|anthropic_claude|24|0|13|7|2|0|2|
TUC|argocd_image_updater|3|0|1|1|1|0|0|
TUC|argo_rollouts|7|0|4|0|3|0|0|
TUC|aws_acm|3|0|0|3|0|0|0|
TUC|aws_api_gateway|6|0|0|6|0|0|0|
TUC|aws_bedrock|44|0|9|31|0|0|4|
TUC|aws_cost_explorer|5|0|0|5|0|0|0|
TUC|aws_ec2|10|0|1|6|1|0|2|
TUC|aws_ecr|18|0|4|10|3|0|1|
TUC|aws_ecs|5|0|0|5|0|0|0|
TUC|aws_elb|3|0|0|3|0|0|0|
TUC|aws_iam|12|0|1|8|1|1|1|
TUC|aws_kafka|2|0|1|1|0|0|0|
TUC|aws_kms|3|0|0|3|0|0|0|
TUC|aws_lambda|22|0|2|18|0|1|1|
TUC|aws_rds|31|0|8|20|0|0|3|
TUC|aws_route53|3|0|0|3|0|0|0|
TUC|aws_secrets_manager|0|0|0|0|0|0|0|HALLUCINATION
TUC|aws_sqs|2|0|0|2|0|0|0|
TUC|aws_ssm|17|0|3|7|5|0|2|
TUC|aws_step_functions|6|0|1|5|0|0|0|
TUC|aws_vpc|3|0|0|3|0|0|0|
TUC|aws_waf|4|0|0|4|0|0|0|
TUC|azure_sql|23|0|8|14|0|0|1|
TUC|bash|37|1|28|3|3|0|2|
TUC|bun|1|0|0|1|0|0|0|
TUC|cors|7|0|1|6|0|0|0|
TUC|curl|8|0|2|1|3|0|2|
TUC|external_secrets|9|0|1|7|0|0|1|
TUC|go|30|0|13|17|0|0|0|
TUC|graphql|1|0|0|1|0|0|0|
TUC|helm|8|0|2|4|1|0|1|
TUC|hmac|7|0|1|6|0|0|0|
TUC|hmac-sha256|2|0|0|2|0|0|0|
TUC|json|126|1|20|94|6|1|4|
TUC|jwt|53|0|6|45|1|1|0|
TUC|koa|0|0|0|0|0|0|0|HALLUCINATION
TUC|loki|18|0|5|10|3|0|0|
TUC|nextjs|8|0|1|7|0|0|0|
TUC|npm|11|0|7|1|2|0|1|
TUC|oauth2|8|0|1|7|0|0|0|
TUC|openai|1|0|0|1|0|0|0|
TUC|pgvector|1|0|1|0|0|0|0|
TUC|postcss|1|0|1|0|0|0|0|
TUC|rust|2|0|0|2|0|0|0|
TUC|sentry|1|0|0|1|0|0|0|
TUC|sha256|7|1|2|4|0|0|0|
TUC|starlette|1|0|1|0|0|0|0|
TUC|turbo|2|1|0|1|0|0|0|
TUC|yarn|32|2|16|3|6|1|4|
